,상호,휘발유,상표,셀프여부,주소,시
2826,지에스칼텍스(주)발안IC주유소,1797,GS칼텍스,Y,경기 화성시 향남읍 3.1만세로 911,화성시
2827,SK에너지(주)솔빛나루주유소,1798,SK에너지,N,경기 화성시 10용사로 650 (반송동),화성시
2828,발안고속주유소,1798,SK에너지,N,경기 화성시 장안면 3.1만세로 562,화성시
2829,행정타운오일뱅크,1798,현대오일뱅크,N,경기 화성시 남양읍 시청로 275,화성시
2830,장수주유소,1798,GS칼텍스,N,경기 화성시 장안면 3.1만세로 480,화성시
2831,지에스칼텍스(주)캐피탈주유소,1798,GS칼텍스,Y,경기 화성시 향남읍 발안로 450,화성시
2832,금산주유소,1798,S-OIL,N,경기 화성시 장안면 3.1만세로 501,화성시
2833,SK에너지(주) 동탄맥주유소,1798,SK에너지,Y,경기 화성시 효행로 1260,화성시
2834,동탄2주유소,1798,GS칼텍스,Y,경기 화성시 동탄대로 750 (영천동),화성시
2835,우정주유소,1798,SK에너지,N,경기 화성시 마도면 화성로 706,화성시
2836,(주)태화유업 병점주유소,1798,현대오일뱅크,N,경기 화성시 떡전골로 148,화성시
2837,원평주유소,1799,S-OIL,Y,경기 화성시 매송면 화성로 2415,화성시
2838,상안주유소,1799,SK에너지,N,경기 화성시 서신면 마도로 6,화성시
2839,반석주유소,1799,S-OIL,N,경기 화성시 우정읍 포승향남로 1207,화성시
2840,(주)영광주유소,1799,현대오일뱅크,Y,경기 화성시 효행로 1144 (병점동),화성시
2841,39라인주유소,1799,GS칼텍스,N,경기 화성시 향남읍 서해로 806,화성시
2842,동탄반월주유소,1799,SK에너지,Y,경기 화성시 동탄원천로 447 (반월동),화성시
2843,정남IC주유소,1799,S-OIL,N,경기 화성시 정남면 세자로 68,화성시
2844,동탄주유소,1799,GS칼텍스,Y,경기 화성시 10용사로 446,화성시
