"행정구역(시군구)별","연령별",2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"행정구역(시군구)별","연령별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국","43세",935911,473122,462789,930966,472101,458865,923443,471813,451630,947121,484931,462190,898285,461301,436984,896518,451065,445453,859972,439645,420327,790977,399008,391969,762470,389881,372589,778395,391018,387377,719423,371414,348009
"전국","44세",871204,434004,437200,933973,471866,462107,929667,471162,458505,922307,470921,451386,946354,484227,462127,897631,460684,436947,895428,450301,445127,858988,438916,420072,790085,398418,391667,761607,389310,372297,775928,389796,386132
"전국","45세",825847,434429,391418,869201,432687,436514,932439,470748,461691,928289,470150,458139,921494,470205,451289,945524,483473,462051,896361,459783,436578,894197,449414,444783,857823,438118,419705,789046,397722,391324,759008,388027,370981
"전국","46세",861891,436350,425541,823917,433083,390834,867657,431588,436069,931025,469655,461370,927372,469320,458052,920661,469393,451268,944179,482465,461714,895079,458859,436220,892843,448469,444374,856591,437273,419318,785980,396166,389814
"전국","47세",844225,431977,412248,859816,434917,424899,822249,431824,390425,866083,430438,435645,929758,468566,461192,926343,468398,457945,919109,468276,450833,942734,481403,461331,893588,457811,435777,891471,447519,443952,852896,435380,417516
"전국","48세",803780,414165,389615,841948,430369,411579,857982,433563,424419,820657,430575,390082,864888,429425,435463,928518,467511,461007,924665,467181,457484,917454,467086,450368,941096,480225,460871,892019,456692,435327,887828,445544,442284
"전국","49세",893818,459936,433882,801529,412557,388972,839950,428825,411125,856129,432177,423952,819295,429429,389866,863764,428407,435357,926695,466163,460532,922929,465897,457032,915688,465787,449901,939344,478994,460350,888249,454640,433609
"전국","50세",929060,468837,460223,891073,458022,433051,799571,411096,388475,837923,427283,410640,854571,430805,423766,817907,428205,389702,861873,427043,434830,924835,464763,460072,921051,464547,456504,913912,464516,449396,935176,476689,458487
"전국","51세",938247,470726,467521,925969,466618,459351,888563,456140,432423,797573,409530,388043,836443,425939,410504,853001,429464,423537,815855,426660,389195,860005,425662,434343,922768,463234,459534,919030,463089,455941,909777,462216,447561
"전국","52세",867111,435547,431564,934977,468389,466588,923103,464494,458609,885997,454183,431814,796081,408149,387932,834857,424531,410326,850770,427787,422983,813809,425106,388703,857909,424147,433762,920605,461647,458958,914615,460679,453936
"전국","53세",792643,402279,390364,863920,433233,430687,931945,466103,465842,920265,462391,457874,884105,452517,431588,794455,406668,387787,832633,422788,409845,848593,426145,422448,811612,423459,388153,855730,422561,433169,915978,459043,456935
"전국","54세",786572,398318,388254,789529,400006,389523,860888,430996,429892,928833,463778,465055,917941,460413,457528,882172,450843,431329,792265,404923,387342,830351,421025,409326,846251,424342,421909,809451,421869,387582,851276,420160,431116
"전국","55세",710515,357038,353477,783222,395912,387310,786649,397821,388828,857783,428629,429154,926350,461650,464700,915541,458373,457168,879476,448711,430765,789814,403035,386779,828014,419234,408780,843823,422505,421318,804900,419199,385701
"전국","56세",736003,362905,373098,707367,354661,352706,780052,393523,386529,783692,395575,388117,855335,426631,428704,923841,459547,464294,912277,455878,456399,876735,446592,430143,787363,401176,386187,825363,417275,408088,838994,419609,419385
"전국","57세",626938,315185,311753,732597,360432,372165,704263,352313,351950,776856,391152,385704,781202,393504,387698,852740,424506,428234,920380,456944,463436,908987,453321,455666,873704,444294,429410,784660,399115,385545,820408,414323,406085
"전국","58세",541974,267528,274446,623936,312948,310988,729354,357994,371360,701219,349990,351229,774145,388860,385285,778724,391395,387329,849219,421775,427444,916989,454369,462620,905510,450760,454750,870571,441909,428662,779401,395997,383404
"전국","59세",599083,295892,303191,538980,265345,273635,620868,310625,310243,726020,355474,370546,698618,347862,350756,771423,386570,384853,775456,388888,386568,845766,419185,426581,913195,451494,461701,901869,448058,453811,864686,438384,426302
"전국","60세",437650,215657,221993,595719,293401,302318,536154,263207,272947,617706,308277,309429,723306,353220,370086,696051,345721,350330,767925,383917,384008,771988,386215,385773,842106,416497,425609,909224,448604,460620,895236,444152,451084
